식품명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),칼륨(mg),칼슘(mg),철(mg),비타민 A(μg RAE),비타민 C(mg),비타민 D(μg),포화지방산(g),콜레스테롤(mg)
떡볶이,144,66.3,3.51,2.96,25.96,4.4,391.0,84.0,14.0,0.18,15.0,1.92,0.0,0.28,2.34
떡볶이_채소,258,37.0,3.12,1.88,57.06,1.97,269.0,94.0,14.0,0.24,20.0,0.0,0.0,0.39,0.0
라볶이,134,71.2,2.83,4.71,20.14,0.94,311.0,106.0,51.0,0.23,1.0,0.0,0.0,1.47,2.52
마늘쫑볶음,89,78.8,3.25,2.54,13.17,5.29,562.0,319.0,43.0,0.84,33.0,21.11,0.0,0.37,0.0
마늘쫑볶음_멸치,117,71.7,7.54,2.78,15.42,5.7,505.0,305.0,134.0,0.64,72.0,3.06,0.0,0.42,2.52
마파두부,109,79.3,7.29,6.48,5.36,2.45,352.0,115.0,29.0,1.03,14.0,3.61,0.0,1.04,6.79
멸치볶음,276,27.5,39.44,7.08,13.62,11.6,2606.0,598.0,1051.0,9.66,31.0,3.6,2.02,1.28,368.7
멸치볶음_견과류,414,17.7,30.4,24.32,18.36,14.02,1828.0,601.0,841.0,10.42,1.0,5.32,0.0,3.04,157.2
멸치볶음_꽈리고추,253,47.4,23.62,14.08,7.96,6.24,1334.0,453.0,551.0,8.86,14.0,0.0,0.0,0.16,147.3
멸치볶음_마늘쫑,277,32.4,32.4,10.84,12.42,4.26,2501.0,600.0,1215.0,10.84,29.0,4.8,0.0,1.9,305.04
감자전,133,73.5,1.72,6.54,16.79,1.81,293.0,406.0,9.0,0.36,5.0,1.51,0.0,0.89,0.0
고구마전,227,52.2,2.92,7.98,35.99,14.26,87.0,343.0,19.0,0.66,47.0,3.93,0.0,1.19,0.0
김치전,134,70.4,5.05,4.2,19.01,4.21,240.0,208.0,43.0,0.63,18.0,1.47,0.0,0.87,54.91
달걀말이,193,66.5,17.21,13.21,1.45,0.0,449.0,144.0,55.0,1.74,90.0,0.31,0.71,3.33,339.85
달걀부침(달걀후라이),208,64.4,15.73,13.78,5.15,0.03,161.0,152.0,52.0,1.98,97.0,0.45,0.0,3.72,327.72
달걀부침(달걀후라이)_햄,277,55.7,12.71,21.59,8.06,0.0,591.0,185.0,16.0,0.92,8.0,0.46,0.45,6.65,77.39
두부부침,140,75.4,10.92,9.77,2.07,0.24,429.0,213.0,63.0,1.78,0.0,0.76,0.0,1.45,0.0
맛살전,165,64.5,7.48,6.24,19.69,1.14,559.0,46.0,172.0,0.63,36.0,0.0,0.0,1.21,64.18
메밀전,161,59.6,4.02,0.64,34.79,0.3,145.0,143.0,16.0,1.25,2.0,0.58,0.0,0.26,0.0
버섯전_표고버섯,181,65.7,10.13,9.98,12.74,1.89,317.0,302.0,27.0,1.26,5.0,2.76,0.0,2.18,72.33
부추전,167,62.3,4.63,4.17,27.86,8.28,247.0,173.0,21.0,0.51,54.0,0.17,0.0,0.8,26.17
산적_돼지고기,200,58.5,29.06,8.56,1.55,0.06,586.0,311.0,18.0,0.91,1.0,0.29,0.0,2.41,56.15
스크램블드에그,216,66.6,11.81,17.59,2.56,0.45,369.0,138.0,56.0,1.74,78.0,0.22,0.0,3.2,251.32
애호박전,122,79.1,4.35,8.62,6.73,2.32,224.0,213.0,33.0,0.66,23.0,0.0,0.0,1.33,75.99
완자전_돼지고기,139,69.9,14.78,5.95,6.51,2.56,859.0,277.0,36.0,1.23,19.0,1.61,0.0,1.77,68.26
완자전_소고기,162,67.8,18.73,7.56,4.68,0.2,381.0,97.0,41.0,0.47,18.0,0.0,0.0,1.61,72.61
완자전_참치,173,63.2,15.0,6.49,13.57,3.69,567.0,205.0,19.0,1.38,14.0,3.64,1.09,1.5,69.88
완자전_해물,222,57.1,11.46,11.61,18.04,3.41,591.0,144.0,23.0,0.5,15.0,0.0,0.89,3.43,61.22
채소전,145,68.3,3.57,4.5,22.59,2.06,259.0,173.0,22.0,0.48,13.0,0.14,4.03,0.89,19.62
파전_해물,171,66.7,5.5,8.4,18.29,0.82,300.0,127.0,43.0,2.35,38.0,0.26,0.0,1.04,50.72
감자볶음,100,79.6,1.75,4.84,12.41,3.37,318.0,311.0,11.0,0.31,0.0,0.96,0.0,0.63,0.0
감자볶음_채소,108,78.2,2.04,5.22,13.1,0.12,208.0,334.0,16.0,0.38,23.0,2.81,0.0,0.69,0.0
떡갈비,202,62.4,21.38,11.82,2.46,0.4,404.0,299.0,22.0,2.9,6.0,0.77,0.0,4.29,68.04
런천미트구이,303,51.4,17.56,24.38,3.27,1.71,954.0,409.0,32.0,0.54,6.0,14.44,0.0,9.01,35.69
뱅어포구이,374,18.4,34.37,15.17,25.07,15.91,1479.0,366.0,1038.0,2.11,57.0,0.0,10.2,3.0,469.76
버섯구이,52,86.6,5.16,1.38,4.78,0.11,492.0,399.0,2.0,0.73,0.0,0.0,0.0,0.41,0.0
버섯구이_새송이버섯,84,79.8,4.29,2.21,11.66,4.54,463.0,374.0,1.0,0.6,0.0,0.0,0.0,0.28,0.0
버섯구이표고버섯,100,74.3,4.34,1.06,18.14,1.4,435.0,439.0,3.0,0.68,0.0,0.0,0.0,0.65,0.0
삼겹살구이,467,33.0,22.56,41.69,0.35,0.0,576.0,370.0,9.0,0.69,5.0,1.67,0.0,12.42,39.72
